Reviewed, UniProt_ID, Gene_Name, Gene_ID, Chromosome
Yes,Q9Z238,Ccne2,12448,Chromosome:4
Yes,Q99JP0,Map4k3,225028,Chromosome:17
Yes,P48031,Gbx2,14472,Chromosome:1
Yes,P34056,Tfap2a,21418,None
Yes,Q8C0P0,Mastl,67121,Chromosome:2
Yes,Q8BHY3,Ano1,101772,Chromosome:7
Yes,Q9CPZ1,67082,Chromosome:14
Yes,Q99J62,Rfc4,106344,Chromosome:16
Yes,O70302,Cidea,12683,Chromosome:18
Yes,B2RY83,Hpse2,545291,Chromosome:19
Yes,Q99M03,Rwdd2b,53858,Chromosome:16
Yes,Q9WUB3,Pygm,19309,Chromosome:19
Yes,Q8BXA1,Golim4,73124,Chromosome:3
Yes,P27612,Plaa,18786,Chromosome:4
Yes,P35292,Rab17,19329,Chromosome:1
Yes,Q9D0L6,Bambi,68010,Chromosome:18
Yes,Q3KNK3,Cyb5r2,320635,Chromosome:7
Yes,Q8C0C0,Zhx2,387609,Chromosome:15
Yes,P46684,Zic1,22771,Chromosome:9
Yes,Q69ZP3,Pnkd,56695,Chromosome:1
Yes,A2AQ14,Oip5,70645,Chromosome:2
Yes,Q9D1C2,Cby1,73739,Chromosome:15
Yes,P97311,Mcm6,17219,Chromosome:1
Yes,Q9CZA5,Zcchc12,72693,None
Yes,P18406,Cyr61,16007,Chromosome:3
Yes,Q80W37,Snupn,66069,Chromosome:9
Yes,Q64280,Lefty1,13590,Chromosome:1
Yes,Q99MD8,Mynn,80732,Chromosome:3
Yes,Q8K1B9,Galnt18,233733,Chromosome:7
Yes,Q9WV60,Gsk3b,56637,Chromosome:16
Yes,P14602,Hspb1,15507,Chromosome:5
Yes,Q5NCC3,Trim41,211007,Chromosome:11
Yes,Q9EST5,Anp32b,67628,Chromosome:4
Yes,P43120,Hhex,15242,Chromosome:19
Yes,Q9WTL8,Arntl,11865,Chromosome:7
Yes,Q9R1T4,Sept6,56526,None
Yes,Q3UYH7,Adrbk2,320129,Chromosome:5
Yes,Q9DB50,Ap1s2,108012,None
Yes,Q8BX90,Fndc3a,319448,Chromosome:14
Yes,Q8R0C3,Slc26a8,224661,Chromosome:17
Yes,Q6NXK8,Asic1,11419,Chromosome:15
Yes,Q9Z1T1,Ap3b1,11774,Chromosome:13
Yes,Q9DBX2,Pdcl,67466,Chromosome:2
Yes,Q61144,Psen2,19165,None
Yes,O35216,Cenpa,12615,Chromosome:5
Yes,P26443,Glud1,14661,Chromosome:14
Yes,P40940,ARF3,817014,Chromosome:2
Yes,Q9D1C1,Ube2c,68612,Chromosome:2
Yes,Q9DAR7,Dcps,69305,Chromosome:9
Yes,Q99NF3,Cep41,83922,Chromosome:6
Yes,Q8BHP7,Olfml2a,241327,Chromosome:2
Yes,Q62231,Six1,20471,Chromosome:12
Yes,Q91WE3,Rpp25,102614,Chromosome:9
Yes,O64587,ACD11,818034,Chromosome:2
Yes,P30993,C5ar1,12273,Chromosome:7
Yes,Q61188,Ezh2,14056,Chromosome:6
Yes,Q8K4X7,Agpat4,68262,Chromosome:17
Yes,P20782,Chrne,11448,Chromosome:11
Yes,Q9DBR2,Fam13c,71721,Chromosome:10
Yes,Q8VE42,Ankrd49,56503,Chromosome:9
Yes,Q8BWW9,Pkn2,109333,Chromosome:3
Yes,Q924A0,Tcf7l2,21416,Chromosome:19
Yes,Q8BKT7,Thoc5,107829,None
Yes,Q8CGP1,Hist1h2bk,319184,Chromosome:13
Yes,P23475,Xrcc6,14375,None
Yes,Q9ERG2,Strn3,94186,Chromosome:12
Yes,Q80U93,Nup214,227720,Chromosome:2
Yes,Q9DBG3,Ap2b1,71770,Chromosome:11
Yes,P24610,Pax3,18505,Chromosome:1
Yes,Q8BLE7,Slc17a6,140919,None
Yes,Q99LG0,Usp16,74112,Chromosome:16
Yes,P48967,Cdc25c,12532,Chromosome:18
Yes,Q80XD1,Chn2,69993,Chromosome:6
Yes,Q8K1T4,Ly6g5b,266614,Chromosome:17
Yes,Q8BFU1,Slc39a9,328133,Chromosome:12
Yes,Q5W9E7,MUS81,829211,Chromosome:4
Yes,Q9Z265,Chek2,50883,Chromosome:5
Yes,B9EJA2,Cttnbp2,30785,Chromosome:6
Yes,P05132,Prkaca,18747,Chromosome:8
Yes,Q9CR75,Tnfrsf12a,27279,Chromosome:17
Yes,Q9D240,Plekhj1,78670,Chromosome:10
Yes,Q922S8,Kif2c,73804,Chromosome:4
Yes,Q61753,Phgdh,236539,Chromosome:3
Yes,Q9JKF7,Mrpl39,27393,Chromosome:16
Yes,P61375,Lhx5,16873,Chromosome:5
Yes,Q9ERS2,Ndufa13,67184,Chromosome:8
Yes,O80786,MCM5,815415,Chromosome:2
Yes,Q9R1L5,Mast1,56527,Chromosome:8
Yes,P13439,Umps,22247,Chromosome:16
Yes,P62315,Snrpd1,20641,Chromosome:18
Yes,Q91VW5,Golga4,54214,Chromosome:9
Yes,P62932,Fbxo40,207215,Chromosome:16
Yes,P46938,Yap1,22601,Chromosome:9
Yes,F4JEP5,MSH5,821593,Chromosome:3
Yes,P10854,Hist1h2bm,319186,Chromosome:13
Yes,Q8R4P5,Tmc1,13409,Chromosome:19
Yes,Q8K3Q3,Foxn4,116810,Chromosome:5
Yes,Q9QXE2,Poll,56626,Chromosome:19
Yes,O80438,MAK3,818391,Chromosome:2
Yes,Q8BYR1,Lcmt2,329504,Chromosome:2
Yes,Q61090,Fzd7,14369,Chromosome:1
Yes,Q80US8,Mxd3,17121,Chromosome:13
Yes,Q9D2E2,Toe1,68276,Chromosome:4
Yes,Q8R0P8,Abhd8,64296,Chromosome:8
Yes,Q64429,Cyp1b1,13078,Chromosome:17
Yes,P16406,Enpep,13809,Chromosome:3
Yes,Q9JKY0,Rqcd1,58184,Chromosome:1
Yes,P97785,Gfra1,14585,Chromosome:19
Yes,Q91ZD6,Eaf2,106389,Chromosome:16
Yes,P57785,Lefty2,320202,Chromosome:1
Yes,Q8CCJ3,Ufl1,67490,Chromosome:4
Yes,P36552,Cpox,12892,Chromosome:16
Yes,Q6PB70,Ano8,382014,Chromosome:8
Yes,P62305,Snrpe,20643,Chromosome:1
Yes,Q9D1D4,Tmed10,68581,Chromosome:12
Yes,Q3TB82,Plekhf1,72287,Chromosome:7
Yes,Q9D1X0,Nol3,78688,Chromosome:8
Yes,P62331,Arf6,11845,Chromosome:12
Yes,Q7TMA2,Znf503,218820,Chromosome:14
Yes,P23683,Evx1,14028,Chromosome:6
Yes,Q811C2,Atg4c,242557,Chromosome:4
Yes,Q922D8,Mthfd1,108156,Chromosome:12
Yes,P62071,Rras2,66922,Chromosome:7
Yes,P08607,C4bpa,12269,Chromosome:1
Yes,O08608,Oaz2,18247,Chromosome:9
Yes,Q68EF4,Grm4,268934,None
Yes,Q9EPQ8,Tcf20,21411,Chromosome:15
Yes,Q8BM72,Hspa13,110920,Chromosome:16
Yes,Q60665,Skil,20482,Chromosome:3
Yes,P97855,G3bp1,27041,Chromosome:11
Yes,Q9Z1R4,D17h6s53e,114585,Chromosome:17
Yes,P06798,Hoxa4,15401,None
Yes,Q80X80,C2cd2l,71764,Chromosome:9
Yes,Q8BK64,Ahsa1,217737,Chromosome:12
Yes,P05784,Krt18,16668,Chromosome:15
Yes,Q9WVT6,Ca14,23831,Chromosome:3
Yes,Q5VCS6,Tdrd5,214575,Chromosome:1
Yes,Q62446,Fkbp3,30795,Chromosome:12
Yes,P09026,Hoxb3,15410,Chromosome:11
Yes,P60954,Nol4,319211,Chromosome:18
Yes,P63005,Pafah1b1,18472,Chromosome:11
Yes,Q99JX1,Taf11,68776,Chromosome:17
Yes,B3DNN5,APC6,844213,Chromosome:1
Yes,A2ADU8,Dgat2l6,668257,None
Yes,Q9Z1S0,Bub1b,12236,Chromosome:2
Yes,Q8BXK8,Agap1,347722,Chromosome:1
Yes,P43275,Hist1h1a,80838,Chromosome:13
Yes,Q8CAA7,Pgm2l1,70974,Chromosome:7
Yes,P97808,Fxyd5,18301,Chromosome:7
Yes,P63154,Crnkl1,66877,Chromosome:2
Yes,P70172,Slc10a2,20494,Chromosome:8
Yes,Q9CT10,Ranbp3,71810,Chromosome:17
Yes,Q8BMG8,Slc25a32,69906,Chromosome:15
Yes,Q9WVG7,Osr1,23967,Chromosome:12
Yes,Q8BM13,Olfm2,244723,Chromosome:9
Yes,Q68FG0,Zc4h2,245522,None
Yes,P53776,Lhx4,16872,Chromosome:1
Yes,P97471,Smad4,17128,Chromosome:18
Yes,Q9CPX7,Mrps16,66242,Chromosome:14
Yes,Q06335,Aplp2,11804,Chromosome:9
Yes,Q01705,Notch1,18128,Chromosome:2
Yes,Q7TQ40,Zic5,65100,None
Yes,P62267,Rps23,66475,Chromosome:13
Yes,Q9SJK7,TCP11,818274,Chromosome:2
Yes,P97742,Cpt1a,12894,Chromosome:19
Yes,Q8BS45,Ttc26,264134,Chromosome:6
Yes,Q64739,Col11a2,12815,Chromosome:17
Yes,Q9CQU1,Mfap1,100034361,Chromosome:2
Yes,Q9Z262,Cldn6,54419,Chromosome:17
Yes,P63280,Ube2i,102641751,Chromosome:17
Yes,P28651,Ca8,12319,Chromosome:4
Yes,P59509,Adamts19,240322,Chromosome:18
Yes,Q91YU6,Lzts2,226154,Chromosome:19
Yes,Q9EST3,Eif4enif1,74203,Chromosome:11
Yes,O08852,Pkd1,18763,Chromosome:17
Yes,Q60765,Atf3,11910,Chromosome:1
Yes,Q8R0H9,Gga1,106039,Chromosome:15
Yes,P62317,Snrpd2,107686,Chromosome:7
Yes,Q62233,Six3,20473,Chromosome:17
Yes,Q6NZB1,Prmt6,99890,Chromosome:3
Yes,Q64373,Bcl2l1,12048,Chromosome:2
Yes,Q9DAI2,Ift22,67286,Chromosome:5
Yes,P43135,Nr2f2,11819,Chromosome:7
Yes,O35381,Anp32a,11737,Chromosome:9
Yes,Q61543,Glg1,20340,Chromosome:8
Yes,Q922M5,Cdca7l,217946,Chromosome:12
Yes,P97497,Shbg,20415,Chromosome:11
Yes,P26687,Twist1,22160,Chromosome:12
Yes,P49182,Serpind1,15160,Chromosome:16
Yes,P34802,GGPPS1,829834,Chromosome:4
Yes,Q9JMD3,Stard10,56018,Chromosome:7
Yes,Q924H9,Dqx1,93838,Chromosome:6
Yes,Q4G0F8,Ubn1,170644,Chromosome:16
Yes,Q9ZU50,BAT1,814645,Chromosome:2
Yes,P25911,Lyn,17096,Chromosome:4
Yes,P04202,Tgfb1,21803,Chromosome:7
Yes,P17553,Wnt3,22415,Chromosome:11
Yes,Q61792,Lasp1,16796,Chromosome:11
Yes,Q8VBT6,Apobr,171504,Chromosome:7
Yes,P43277,Hist1h1d,14957,Chromosome:13
Yes,Q8BXA0,Lrfn5,238205,Chromosome:12
Yes,Q9WV74,Asb1,65247,Chromosome:1
Yes,Q811W2,Cyp26b1,232174,Chromosome:6
Yes,P56402,Aqp2,11827,Chromosome:15
Yes,Q8BP71,Rbfox2,93686,Chromosome:15
Yes,O88967,Yme1l1,27377,Chromosome:2
Yes,Q6PB44,Ptpn23,104831,Chromosome:9
Yes,Q78HU7,Gypc,71683,Chromosome:18
Yes,Q76LW6,Dand5,23863,Chromosome:8
Yes,O08901,Bub1,12235,None
Yes,Q9WVH4,Foxo3,56484,Chromosome:10
Yes,P60766,Cdc42,12540,Chromosome:4
Yes,P56399,Usp5,22225,Chromosome:6
Yes,O55111,Dsg2,13511,Chromosome:18
Yes,Q8K2I2,Cchcr1,240084,Chromosome:17
Yes,P31266,Rbpj,19664,Chromosome:5
Yes,Q8R3B7,Brd8,78656,Chromosome:18
Yes,P14733,Lmnb1,16906,Chromosome:18
Yes,Q80T79,Csmd3,239420,Chromosome:15
Yes,Q91ZR4,Nek8,140859,Chromosome:11
Yes,P63001,Rac1,19353,Chromosome:5
Yes,Q9QYR6,Map1a,17754,Chromosome:2
Yes,P83870,Phf5a,68479,Chromosome:15
Yes,P12658,Calb1,12307,Chromosome:4
Yes,O88513,Gmnn,57441,Chromosome:13
Yes,Q9FKB0,LSM5,834945,Chromosome:5
Yes,Q9CQR7,Psenen,66340,Chromosome:7
Yes,Q4VAC9,Plekhg3,263406,Chromosome:12
Yes,Q923S9,Rab30,75985,Chromosome:7
Yes,Q9SN68,RABF2B,827706,Chromosome:4
Yes,Q8BG15,Ctdspl2,329506,Chromosome:2
Yes,Q8K1L5,Ppp1r11,76497,None
Yes,O35099,Map3k5,26408,Chromosome:10
Yes,P49312,Hnrnpa1,15382,Chromosome:15
Yes,P09065,En1,13798,Chromosome:1
Yes,Q3TKY6,Cwc27,67285,Chromosome:13
Yes,P13504,Il1r1,16177,Chromosome:1
Yes,Q8BTJ4,Enpp4,224794,Chromosome:17
Yes,P97770,Thumpd3,14911,Chromosome:6
Yes,P31750,Akt1,11651,Chromosome:12
Yes,P97504,Bmx,12169,None
Yes,Q61586,Gpam,14732,Chromosome:19
Yes,Q9WTX8,Mad1l1,17120,Chromosome:5
Yes,Q6PAC3,Dcaf13,223499,Chromosome:15
Yes,Q62318,Trim28,21849,Chromosome:7
Yes,Q9CPY1,Mrpl51,66493,Chromosome:6
Yes,Q9D174,Ss18l2,26901,Chromosome:9
Yes,P30677,Gna14,14675,Chromosome:19
Yes,Q8BXF8,Actrt3,76652,Chromosome:3
Yes,P17439,Gba,14466,Chromosome:3
Yes,Q8BLI0,Adamtsl1,77739,Chromosome:4
Yes,Q9CYN2,Spcs2,66624,Chromosome:7
Yes,Q91VX2,Ubap2,68926,Chromosome:4
Yes,Q0HA38,Ttc21b,73668,Chromosome:2
Yes,Q9R008,Mvk,17855,Chromosome:5
Yes,Q9STS3,APC8,823970,Chromosome:3
Yes,Q69Z28,Adamts16,271127,Chromosome:13
Yes,P58137,Acot8,170789,Chromosome:2
Yes,Q8BHX3,Cdca8,52276,Chromosome:4
Yes,Q61081,Cdc37,12539,Chromosome:9
Yes,Q8CGP7,Hist1h2ak,319169,Chromosome:13
Yes,Q9D826,Pipox,19193,Chromosome:11
Yes,Q91ZR1,Rab4b,19342,Chromosome:7
Yes,Q8K4R9,Dlgap5,218977,None
Yes,Q9D952,Evpl,14027,Chromosome:11
Yes,Q8CFV4,Nrn1,68404,Chromosome:13
Yes,Q920B9,Supt16h,114741,None
Yes,P34022,Ranbp1,19385,Chromosome:16
Yes,O70503,Hsd17b12,56348,Chromosome:2
Yes,Q80Y19,Arhgap11a,228482,Chromosome:2
Yes,Q8BWC0,Tpcn2,233979,Chromosome:7
Yes,Q9Z1D8,Zkscan5,22757,Chromosome:5
Yes,Q9CXH7,Sgol1,72415,Chromosome:17
Yes,Q8VIG1,Rest,19712,Chromosome:5
Yes,Q9JKX6,Nudt5,53893,Chromosome:2
Yes,Q8BTN6,Leng9,243813,Chromosome:7
Yes,Q9R1P4,Psma1,26440,Chromosome:7
Yes,Q8BMQ2,Gtf3c4,269252,Chromosome:2
Yes,Q99MD9,Nasp,50927,Chromosome:4
Yes,P63166,Sumo1,22218,Chromosome:1
Yes,Q8VEB4,Pla2g15,192654,Chromosome:8
Yes,Q91YP6,Elmod3,232089,Chromosome:6
Yes,Q9LJN8,BUB3,821496,Chromosome:3
Yes,P70274,Sepp1,20363,Chromosome:15
Yes,Q9QZ11,Exo1,26909,Chromosome:1
Yes,O35253,Smad7,17131,Chromosome:18
Yes,Q9CQZ6,Ndufb3,66495,Chromosome:1
Yes,O88796,Rpp30,54364,Chromosome:19
Yes,Q8CJ27,Aspm,12316,Chromosome:1
Yes,Q8L638,ALG10,831764,Chromosome:5
Yes,P23708,Nfya,18044,Chromosome:17
Yes,Q9Z2C5,Mtm1,17772,None
Yes,P23812,Hoxd12,15432,Chromosome:2
Yes,Q9Z1M0,P2rx7,18439,Chromosome:5
Yes,Q9JI90,Rnf14,56736,Chromosome:18
Yes,Q9Z1W5,Serp1,28146,Chromosome:3
Yes,Q06180,Ptpn2,19255,Chromosome:18
Yes,P62911,Rpl32,19951,Chromosome:6
Yes,Q9CWU9,Nup37,69736,Chromosome:10
Yes,Q9DA48,Spaca1,67652,Chromosome:4
Yes,Q60996,Ppp2r5c,26931,Chromosome:12
Yes,Q8VE04,Mob3b,214944,Chromosome:4
Yes,Q9JHI2,Adat1,30947,Chromosome:8
Yes,P47199,Cryz,12972,Chromosome:3
Yes,B2RY50,Armc4,74934,Chromosome:18
Yes,Q8BGG6,Mospd3,68929,Chromosome:5
Yes,P97931,Ung,22256,Chromosome:5
Yes,Q9Z0E0,Ncdn,26562,Chromosome:4
Yes,Q9JHK5,Plek,56193,Chromosome:11
Yes,Q9LTR9,NMT1,835805,Chromosome:5
Yes,O88335,Kcnj1,56379,Chromosome:9
Yes,Q9JL56,Gde1,56209,Chromosome:7
Yes,Q14B71,Cdca2,108912,Chromosome:14
Yes,O70251,Eef1b,55949,Chromosome:1
Yes,O35718,Socs3,12702,Chromosome:11
Yes,P15806,Tcf3,21423,Chromosome:10
Yes,P0DKH5,RRS1,834562,Chromosome:5
Yes,Q9QXK8,Nmu,56183,Chromosome:5
Yes,Q9CPT3,Nanp,67311,Chromosome:17
Yes,Q80VL3,Prickle3,54630,None
Yes,Q9Z1X9,Cdc45,12544,Chromosome:16
Yes,Q9QZ59,Dmrt1,50796,Chromosome:19
Yes,O88554,Parp2,11546,Chromosome:14
Yes,P12961,Scg5,20394,Chromosome:2
Yes,Q921X6,Polr3f,70408,Chromosome:2
Yes,Q02248,Ctnnb1,12387,Chromosome:9
Yes,Q5S006,Lrrk2,66725,Chromosome:15
Yes,Q8BWM0,Ptges2,96979,Chromosome:2
Yes,Q8CHW1,Thap1,73754,Chromosome:8
Yes,Q9Z1X4,Ilf3,16201,Chromosome:9
Yes,Q8C2Q3,Rbm14,56275,Chromosome:19
Yes,Q9CWH0,Dppa2,73703,Chromosome:16
Yes,Q7TPQ9,Arrdc3,105171,Chromosome:13
Yes,Q8BH07,Arl6ip6,65103,Chromosome:2
Yes,F8VQN3,Gpr31,436440,Chromosome:17
Yes,Q8R4H4,Cpa5,74649,Chromosome:6
Yes,Q8VDS4,Rprd1a,225283,Chromosome:18
Yes,Q8BG95,Ppp1r12b,329251,Chromosome:1
Yes,P15655,Fgf2,14173,Chromosome:3
Yes,Q61809,Lrrn1,16979,Chromosome:6
Yes,Q9Z0Z4,Heph,15203,None
Yes,P31316,Gsx2,14843,Chromosome:5
Yes,Q62188,Dpysl3,22240,Chromosome:18
Yes,P43883,Plin2,11520,Chromosome:4
Yes,Q6PCX9,Trim37,68729,Chromosome:11
Yes,Q7M6U3,Tex14,83560,Chromosome:11
Yes,Q8R1L4,Kdelr3,105785,Chromosome:15
Yes,Q9DCH4,Eif3f,66085,Chromosome:7
Yes,P58462,Foxp1,108655,Chromosome:6
Yes,Q9LIQ6,ING1,821986,Chromosome:3
Yes,Q8BHC0,Lyve1,114332,Chromosome:7
Yes,P11157,Rrm2,20135,Chromosome:12
Yes,Q8K207,69399,Chromosome:1
Yes,Q8BLH7,Hirip3,233876,Chromosome:7
Yes,Q9D125,Mrps25,64658,Chromosome:6
Yes,P59024,Fkbp14,231997,Chromosome:6
Yes,Q8K2L8,Trappc12,217449,Chromosome:12
Yes,Q7TNK1,Rfx4,71137,Chromosome:10
Yes,Q9R1W5,Calcrl,54598,Chromosome:2
Yes,Q9R087,Gpc6,23888,Chromosome:14
Yes,Q42588,SAT1,842043,Chromosome:1
Yes,Q9SF16,CCT7,820356,Chromosome:3
Yes,P35583,Foxa2,15376,Chromosome:2
Yes,O35437,Tcf21,21412,Chromosome:10
Yes,Q08369,Gata4,14463,Chromosome:14
Yes,Q6PB97,Fbxl19,233902,Chromosome:7
Yes,O54839,Eomes,13813,Chromosome:9
Yes,Q6PR54,Rif1,51869,Chromosome:2
Yes,Q80ZK9,Wdtc1,230796,Chromosome:4
Yes,O09046,Il4i1,100328588,None
Yes,Q9CRA8,Exosc5,27998,Chromosome:7
Yes,Q9LJG3,ESM1,820639,Chromosome:3
Yes,Q6ZQ29,Taok2,381921,Chromosome:7
Yes,Q9D8P4,Mrpl17,27397,Chromosome:7
Yes,Q3TXZ1,Znf575,101544,Chromosome:7
Yes,P80205,Otx1,18423,Chromosome:11
Yes,Q8BFR2,Fstl5,213262,Chromosome:3
Yes,Q8CAM5,Rab36,76877,Chromosome:10
Yes,Q9CQJ4,Rnf2,19821,Chromosome:1
Yes,O88477,Igf2bp1,140486,Chromosome:11
Yes,Q80TP3,Ubr5,70790,None
Yes,Q9Z2C4,Mtmr1,53332,None
Yes,Q76K27,St6gal2,240119,Chromosome:17
Yes,Q9CW03,Smc3,13006,Chromosome:19
Yes,P27601,Gna13,14674,Chromosome:11
Yes,Q8CB19,Phtf2,68770,None
Yes,Q60865,Caprin1,53872,Chromosome:2
Yes,Q8C110,Slitrk6,239250,Chromosome:14
Yes,Q8R080,Gtse1,29870,Chromosome:15
Yes,Q9CWV6,Prkrip1,66801,Chromosome:5
Yes,Q9JJ72,Rprm,67874,Chromosome:2
Yes,P70196,Traf6,22034,Chromosome:2
Yes,Q9JHF9,Ly96,17087,Chromosome:1
Yes,Q8BK30,Ndufv3,78330,Chromosome:17
Yes,O70191,Atf5,107503,Chromosome:7
Yes,Q8CE22,Dmtf1,23857,Chromosome:5
Yes,Q8R054,Srpx2,68792,None
Yes,Q9QXV9,Spry1,24063,Chromosome:3
Yes,P10148,Ccl2,20296,Chromosome:11
Yes,Q8C152,Fam46b,100342,Chromosome:4
Yes,Q99KK7,Dpp3,75221,Chromosome:19
Yes,Q9WVS6,Park2,50873,Chromosome:17
Yes,Q8CEF1,Fem1c,240263,Chromosome:18
Yes,Q91VU6,Dcaf11,28199,Chromosome:14
Yes,Q9QZQ3,Uts2,24111,Chromosome:4
Yes,Q8K448,Abca5,217265,Chromosome:11
Yes,Q62448,Eif4g2,13690,None
Yes,Q8C4Q6,Aida,108909,Chromosome:1
Yes,Q8BH73,Qpctl,67369,Chromosome:7
Yes,O88574,Sap30,60406,Chromosome:8
Yes,Q64261,Cdk6,12571,Chromosome:5
Yes,Q571I9,Aldh16a1,69748,None
Yes,Q8VHA6,Asb18,208372,Chromosome:1
Yes,Q8K4J0,Dclre1c,227525,Chromosome:2
Yes,Q61169,Gata6,14465,Chromosome:18
Yes,E9PZZ1,Prdm13,230025,Chromosome:4
Yes,Q8BJU9,Mtrf1l,108853,Chromosome:10
Yes,P00184,Cyp1a1,13076,Chromosome:9
Yes,P49615,Cdk5,12568,Chromosome:5
Yes,Q3UEN2,Fam35a,75698,Chromosome:14
Yes,Q925K9,Tssk6,83984,Chromosome:8
Yes,Q8BHC7,Rhbdd1,76867,Chromosome:1
Yes,P70207,Plxna2,18845,Chromosome:1
Yes,Q9JMH6,Txnrd1,50493,Chromosome:10
Yes,Q925F3,Rnf144a,108089,Chromosome:12
Yes,P04925,Prnp,19122,Chromosome:2
Yes,P57080,Usp25,30940,Chromosome:16
Yes,Q8BZW8,Nhlrc2,66866,Chromosome:19
Yes,Q8R1B8,Rorb,225998,Chromosome:19
Yes,Q8R003,Mbnl3,171170,None
Yes,Q9ES89,Extl2,58193,Chromosome:3
Yes,Q921S7,Mrpl37,56280,Chromosome:4
Yes,Q8CGP6,Hist1h2ah,319168,Chromosome:13
Yes,P62947,Rpl41,67945,Chromosome:10
Yes,P55098,Pex2,19302,None
Yes,Q6ZWX6,Eif2s1,13665,Chromosome:12
Yes,Q8C8U0,Ppfibp1,67533,Chromosome:6
Yes,Q9Z0H3,Smarcb1,20587,Chromosome:10
Yes,Q8K5C0,Grhl2,252973,Chromosome:15
Yes,P25425,Pou2f1,18986,Chromosome:1
Yes,Q9JLI8,Sart3,53890,Chromosome:5
Yes,Q8C0V0,Tlk1,228012,Chromosome:2
Yes,Q0VBD2,Mcm10,70024,Chromosome:2
Yes,Q08879,Fbln1,14114,Chromosome:15
Yes,Q9D0M1,Prpsap1,67763,None
Yes,Q03145,Epha2,13836,Chromosome:4
Yes,Q8BV13,Cops7b,26895,Chromosome:1
Yes,Q91X20,Ash2l,23808,Chromosome:8
Yes,Q9WV30,Nfat5,54446,Chromosome:8
Yes,Q9D0L8,Rnmt,67897,Chromosome:18
Yes,O08665,Sema3a,20346,Chromosome:5
Yes,F4JPW1,BASS5,826811,Chromosome:4
Yes,P48301,Tead2,21677,Chromosome:7
Yes,Q07424,Cdx4,12592,None
Yes,Q6NS52,Dgkb,217480,Chromosome:12
Yes,P50580,Pa2g4,18813,Chromosome:10
Yes,Q80YX1,Tnc,21923,Chromosome:4
Yes,P60670,Nploc4,217365,Chromosome:11
Yes,P10852,Slc3a2,17254,Chromosome:19
Yes,Q9ESX4,Zcchc17,619605,Chromosome:4
Yes,Q8BZP8,Npsr1,319239,Chromosome:9
Yes,Q91WD5,Ndufs2,226646,Chromosome:1
Yes,P48437,Prox1,19130,Chromosome:1
Yes,Q91ZK0,Tfap2d,226896,Chromosome:1
Yes,Q99P69,Nuf2,66977,Chromosome:1
Yes,Q9CQT2,Rbm7,67010,Chromosome:9
Yes,P97825,Hn1,15374,Chromosome:11
Yes,Q8CH36,Slc36a4,234967,None
Yes,P61971,Nutf2,621832,Chromosome:19
Yes,Q8K129,Ctxn1,330695,Chromosome:8
Yes,O35652,Lhx8,16875,Chromosome:3
Yes,Q60751,Igf1r,16001,None
Yes,O55102,Bloc1s1,14533,Chromosome:10
Yes,Q61625,Grid2,14804,Chromosome:6
Yes,Q80W54,Zmpste24,230709,Chromosome:4
Yes,Q923E4,Sirt1,93759,Chromosome:10
Yes,O08808,Diaph1,13367,Chromosome:18
Yes,Q8R2K7,Snapc5,330959,None
Yes,Q60750,Epha1,13835,Chromosome:6
Yes,Q9CPV7,Zdhhc6,66980,Chromosome:19
Yes,Q76KJ5,Cd3eap,70333,Chromosome:7
